time;V(IN_CODEC_BUF);V(IN_JACK_BUF);
0,0257982;0,540612;-4,77229;
0,0258082;0,548344;-4,66921;
0,0258182;0,557461;-4,54769;
0,0258282;0,567929;-4,40824;
0,0258382;0,579705;-4,25138;
0,0258482;0,592743;-4,07775;
0,0258582;0,606992;-3,88802;
0,0258682;0,622395;-3,68295;
0,0258782;0,638892;-3,46334;
0,0258882;0,656417;-3,23007;
0,0258982;0,674902;-2,98405;
0,0259082;0,694273;-2,72625;
0,0259182;0,714454;-2,45769;
0,0259282;0,735365;-2,17943;
0,0259382;0,756925;-1,89257;
0,0259482;0,779046;-1,59825;
0,0259582;0,801644;-1,29761;
0,0259682;0,824627;-0,991855;
0,0259782;0,847906;-0,682184;
0,0259882;0,871388;-0,369821;
0,0259982;0,894982;-0,0559987;
0,0260082;0,918593;0,258045;
0,0260182;0,942129;0,57107;
0,0260282;0,965497;0,881841;
0,0260382;0,988604;1,18913;
0,0260482;1,01136;1,49173;
0,0260582;1,03367;1,78844;
0,0260682;1,05546;2,07809;
0,0260782;1,07663;2,35955;
0,0260882;1,0971;2,63168;
0,0260982;1,11679;2,89344;
0,0261082;1,13562;3,14377;
0,0261182;1,15352;3,3817;
0,0261282;1,17042;3,60628;
0,0261382;1,18625;3,81663;
0,0261482;1,20095;4,01192;
0,0261582;1,21445;4,19137;
0,0261682;1,22672;4,35428;
0,0261782;1,23769;4,50001;
0,0261882;1,24733;4,62798;
0,0261982;1,2556;4,73768;
0,0262082;1,26246;4,82869;
0,0262182;1,26789;4,90064;
0,0262282;1,27186;4,95324;
0,0262382;1,27437;4,9863;
0,0262482;1,27539;4,99969;
0,0262582;1,27494;4,99334;
0,0262682;1,273;4,96728;
0,0262782;1,26958;4,92162;
0,0262882;1,26471;4,85654;
0,0262982;1,25839;4,77229;
0,0263082;1,25066;4,66921;
0,0263182;1,24154;4,54769;
0,0263282;1,23108;4,40824;
0,0263382;1,2193;4,25138;
0,0263482;1,20626;4,07775;
0,0263582;1,19201;3,88802;
0,0263682;1,17661;3,68295;
0,0263782;1,16011;3,46334;
0,0263882;1,14259;3,23007;
0,0263982;1,1241;2,98405;
0,0264082;1,10473;2,72625;
0,0264182;1,08455;2,45769;
0,0264282;1,06364;2,17943;
0,0264382;1,04208;1,89257;
0,0264482;1,01996;1,59825;
0,0264582;0,997363;1,29761;
0,0264682;0,97438;0,991855;
